user_id,happy,happyornot,location,resp_time,sad,sadornot
u12,1,1,"43.63746124,-72.24829138",1367706629,1,2
u45,1,1,Unknown,1368598019,1,2
u32,1,1,"43.70420319,-72.28854729",1367798922,1,1
u32,2,1,Unknown,1369104261,1,1
u32,4,1,"43.65273307,-72.24424084",1369636148,1,2
u24,2,1,"43.70628316,-72.29053029",1368604771,1,2
u24,1,1,"43.7061689,-72.28690838",1368859890,2,1
u08,1,2,"43.7016753,-72.28841929",1366869637,2,1
u08,1,1,"43.70436631,-72.2905311",1366851284,1,2
u08,1,1,"43.70351837,-72.28677131",1366926951,1,1
u08,1,2,"43.70295661,-72.28995533",1367022655,2,1
u08,1,1,"43.70708811,-72.28767562",1367399841,3,1
u08,1,1,"43.7037094,-72.28660102",1367745595,1,1
u08,1,1,"43.7049437,-72.28880281",1367898791,1,2
u08,1,2,"43.70441791,-72.29120623",1368868051,4,1
u08,1,1,"43.70546322,-72.29171657",1369274495,3,1
u49,2,1,"43.70154946541192,-72.2883962521338",1367470740,1,2
u49,2,1,"43.70578575320415,-72.28875349174373",1368216554,1,2
u49,2,1,"43.70713433287341,-72.29021107759506",1367701420,1,2
u49,2,1,"43.63577246751466,-72.21207831472465",1368413612,1,2
u49,3,1,"43.70377306642512,-72.28776140116048",1368472208,1,2
u49,2,1,"43.7071768894946,-72.29070618097161",1368172673,1,1
u49,3,1,"43.70311076889067,-72.29034101735787",1367733759,1,2
u49,1,2,"43.705985547631826,-72.2890841770398",1367906534,2,1
u49,2,1,"43.7059528775494,-72.28796572137354",1368597742,1,2
u49,3,1,Unknown,1368858742,1,2
u49,2,1,"43.70708760216699,-72.2906677907121",1369015417,1,2
u49,3,1,"43.70711113605721,-72.2909021265177",1369106886,1,2
u49,3,1,"43.707233759117564,-72.29071923394626",1369189632,1,2
u49,1,1,"43.70499932516232,-72.28962049781912",1369365176,1,1
u49,1,1,Unknown,1369447504,1,2
u49,3,1,"43.70709626766311,-72.2906669454036",1369879557,2,1
u49,3,1,"43.7072259238806,-72.29061095852634",1369986752,1,2
u42,2,1,"43.66508629,-72.25726975",1368474041,1,2
u42,2,1,"43.66508629,-72.25726975",1368474027,1,2
u42,3,1,"43.70966169,-72.28438979",1368617110,1,2
u42,2,1,"43.65861333,-72.24866914",1369018616,1,2
u03,1,2,"43.70520317,-72.28305108",1367803194,1,1
u19,2,1,"43.70661212,-72.28703723",1366869753,2,1
u19,2,1,"43.70268617,-72.28974899",1366955718,1,2
u19,1,1,"43.70670747,-72.28550624",1367200865,3,1
u19,3,1,"43.70101204,-72.28677708",1367400475,1,2
u19,3,1,"43.70706627,-72.28596306",1367825504,2,1
u19,1,1,"43.70599455,-72.28837514",1368684156,1,1
u19,2,1,"43.70680418,-72.28601166",1368217890,1,2
u19,2,1,"43.70691192,-72.28587513",1367740433,1,2
u19,3,1,"43.70701211,-72.28611727",1368349588,1,1
u19,1,1,"43.70714135,-72.28594665",1368770822,1,1
u19,1,1,"43.70120165,-72.28667414",1368600177,1,1
u19,1,1,"43.70670191,-72.28568105",1368476828,1,1
u19,1,1,"43.70714135,-72.28594665",1368775533,2,1
u19,1,1,"43.70161344,-72.28714129",1368856823,1,1
u19,1,1,"43.70630609,-72.28838012",1369021670,1,2
u19,2,1,"43.70708213,-72.2859049",1369104728,1,2
u19,2,1,"43.70712264,-72.28701115",1369127529,1,1
u19,1,1,"43.70703895,-72.28583916",1369192895,1,2
u19,1,1,"43.70693856,-72.28579217",1369275758,1,1
u19,3,1,"43.7040776,-72.29042456",1369210232,1,1
u19,1,2,Unknown,1369383305,1,1
u19,2,1,"43.70709334,-72.28524117",1369561953,1,1
u19,3,1,"43.70689977,-72.28714289",1369852463,1,1
u19,3,1,"43.70696465,-72.28583899",1369984344,1,2
u58,4,1,"43.70616076,-72.28328673",1366959970,1,2
u58,4,1,"43.70607266,-72.28334592",1367008613,1,2
u58,1,1,"43.70617988,-72.28333935",1367212773,1,2
u58,1,2,"43.70601124,-72.28339159",1367251307,1,1
u58,3,1,"43.70647378,-72.28294033",1368390906,1,2
u58,2,1,"43.70058933,-72.28929853",1367804350,1,2
u58,1,2,"43.7061181,-72.28339464",1368237713,1,1
u58,1,1,"43.70622458,-72.28310226",1368602620,1,1
u58,2,1,"43.70612218,-72.28329793",1368776898,1,1
u58,1,2,"43.7061924,-72.28343594",1369015219,1,1
u58,4,1,"43.70617198,-72.28334412",1368869780,1,2
u58,1,1,"43.70618308,-72.28327414",1369105248,1,2
u58,1,1,"43.7062243,-72.28296326",1369194953,2,1
u58,3,1,"43.70675768,-72.28296487",1369364285,1,1
u58,1,2,"43.70613947,-72.28322684",1369451558,1,1
u58,4,1,"43.70616436,-72.28339582",1369727153,1,2
u58,2,1,"43.70622442,-72.2833425",1369779437,1,1
u23,1,null,"43.70539571,-72.28325429",1366869928,1,null
u35,1,1,"43.7053781,-72.28308617",1368607839,1,2
u35,1,1,"43.70538726,-72.28309592",1368896753,1,2
u22,1,1,"43.70414897,-72.29048617",1366866238,1,2
u22,1,1,"43.70491554,-72.28914282",1368684007,1,2
u22,1,1,Unknown,1369015281,1,null
u22,1,1,Unknown,1369192574,1,2
u59,2,1,"43.703413414768875,-72.28902460075915",1366844735,1,2
u59,1,1,"43.70548307429999,-72.2909040749073",1366858887,1,1
u59,3,1,"43.707177895121276,-72.28785742074251",1366913467,1,2
u59,3,1,"43.703650454990566,-72.29038355872035",1366934016,1,1
u59,2,1,"43.705437812022865,-72.29115846566856",1366964164,1,2
u59,1,1,Unknown,1367064108,2,1
u59,1,1,"43.706689733080566,-72.28658253327012",1367223267,2,1
u59,3,1,"43.70636967010796,-72.28717530146241",1367231226,1,1
u59,1,1,"43.705516937188804,-72.29096400551498",1367183477,1,1
u59,3,1,"43.70481344405562,-72.28933095932007",1367251091,1,1
u59,1,2,Unknown,1367318947,3,1
u59,2,1,"43.70579710230231,-72.29083056561649",1367348614,2,1
u59,1,1,"43.70313869789243,-72.2904294077307",1367384453,1,1
u59,3,1,"43.70489332359284,-72.28969481773674",1367478676,1,2
u59,3,1,"43.70554116088897,-72.29079972021282",1367460117,1,2
u59,1,1,"43.70563415810466,-72.2912774886936",1367510597,1,1
u59,3,1,"43.70413077995181,-72.2902893461287",1367539233,1,2
u59,3,1,"43.70568541344255,-72.29091857559979",1367557250,1,2
u59,1,1,"29.90291280671954,-90.0272652413696",1368360450,3,1
u59,3,1,Unknown,1367720054,1,1
u59,2,1,"43.70551781728864,-72.29054197669029",1367787376,1,1
u59,1,2,"43.706466439180076,-72.28715711273253",1368014869,3,1
u59,3,1,"43.70416569057852,-72.29038154706359",1367893812,1,2
u59,1,1,Unknown,1368230431,4,1
u59,1,1,"43.70743128005415,-72.28925778530538",1368605562,1,1
u59,4,1,Unknown,1367663228,1,2
u59,1,1,"33.64048871677369,-84.43573283962905",1368293650,3,1
u59,3,1,Unknown,1367984923,1,1
u59,2,1,Unknown,1368597703,1,1
u59,2,1,Unknown,1367624964,1,1
u59,1,1,"43.705429220572114,-72.29127271100879",1367945847,2,1
u59,3,1,"43.706673136912286,-72.29037056677043",1368072252,1,1
u59,1,1,Unknown,1368087735,1,2
u59,2,1,"43.703217948786914,-72.28930891491473",1368122107,1,2
u59,1,1,"29.90313538815826,-90.02738610841334",1368430010,2,1
u59,1,1,"43.70553600601852,-72.29107699356973",1368718907,1,1
u59,4,1,"43.70492928195745,-72.29191333986819",1368911292,1,2
u59,2,1,"43.70531283784658,-72.28896860964596",1368835447,1,2
u59,2,1,"43.705568527802825,-72.29081480763853",1368992101,1,2
u59,2,1,"43.704725224524736,-72.28949784301221",1369009496,1,2
u59,1,1,"43.70559212286025,-72.29091203771532",1369082859,1,2
u59,2,1,"43.70559212286025,-72.29091203771532",1369090436,1,2
u59,3,1,Unknown,1369162536,1,2
u59,1,1,"43.70286435820162,-72.28974292986095",1369201140,1,1
u59,2,1,"43.705720701254904,-72.29104246012866",1369249107,1,null
u59,3,1,"43.705720701254904,-72.29104246012866",1369272645,1,2
u59,2,1,"43.705720701254904,-72.29104246012866",1369267429,3,1
u59,3,1,Unknown,1369331974,1,2
u59,2,1,"43.70550733990967,-72.2909749019891",1369681752,1,2
u59,4,1,Unknown,1369354333,1,2
u59,1,2,Unknown,1369375653,1,2
u59,2,1,Unknown,1369414847,1,1
u59,1,1,Unknown,1369447421,1,1
u59,1,2,Unknown,1369734934,1,1
u59,4,1,"43.705530599690974,-72.29089292697608",1369944203,1,2
u59,3,1,"43.70569061022252,-72.2908440604806",1370023695,1,1
u59,1,1,"43.705530599690974,-72.29089292697608",1369930323,1,1
u59,2,1,"43.705819859169424,-72.29087230749428",1369595863,1,2
u59,1,1,"43.705510566942394,-72.29118637740612",1369644235,2,1
u59,3,1,Unknown,1369713628,1,2
u59,1,2,"43.70560381561518,-72.29110607877374",1369771667,2,1
u59,2,1,Unknown,1369792851,1,1
u59,1,2,Unknown,1369800330,1,1
u59,1,1,Unknown,1369874551,2,1
u59,2,1,"40.69961621426046,-73.81507202982903",1370092149,1,1
u59,3,1,Unknown,1369994248,1,2
u59,4,1,Unknown,1369958479,1,2
u59,4,1,"43.70243239682168,-72.28868303820491",1370031306,1,2
u59,3,1,"29.902872280217707,-90.02744721248746",1370387903,1,2
u59,3,1,"29.902838333509862,-90.02745215781033",1370221181,1,2
u59,2,1,"29.902628953568637,-90.02758811227977",1370335201,1,1
u59,3,1,"29.902807823382318,-90.02733036875725",1370309386,1,2
u59,3,1,"29.902913058176637,-90.02728560939431",1370408779,1,2
u59,4,1,"29.902975209988654,-90.02755098044872",1370246227,1,2
u59,3,1,"29.902869472280145,-90.02734076231718",1370303972,1,2
u59,4,1,"29.90317050833255,-90.02723732963204",1370231278,1,2
u59,3,1,"29.900103276595473,-90.0295245833695",1370152814,1,2
u59,2,1,"29.902892354875803,-90.02732827328146",1370477140,1,1
u59,3,1,"29.9028183426708,-90.02741821110249",1370394593,1,2
u59,3,1,"29.902878901921213,-90.02735710702837",1370208688,1,2
u59,2,1,"29.90302047226578,-90.02727027051151",1370416534,1,2
u59,2,1,"29.902890636585653,-90.02726105041802",1370514109,1,2
u59,2,1,Unknown,1370648556,1,2
u18,1,1,"43.70650141,-72.2880166",1368688609,2,1
u02,1,2,"43.70626697,-72.2868116",1369015384,1,1
u14,2,1,"43.706818,-72.28739128",1367803663,1,2
u43,2,1,"43.70684508,-72.28713045",1367363278,1,1
