uid,type,1. Is talkative,2. Tends to find fault with others,3. Does a thorough job,"4. Is depressed, blue","5. Is original, comes up with new ideas",6. Is reserved,7. Is helpful and unselfish with others,8. Can be somewhat careless,"9. Is relaxed, handles stress well.",10. Is curious about many different things,11.Is full of energy,12. Starts quarrels with others,13. Is a reliable worker,14. Can be tense,"15. Is ingenious, a deep thinker",16. Generates a lot of enthusiasm,17. Has a forgiving nature,18. Tends to be disorganized,19. Worries a lot,20. Has an active imagination,21. Tends to be quiet,22. Is generally trusting,23. Tends to be lazy,"24. Is emotionally stable, not easily upset",25. Is inventive,26. Has an assertive personality,27. Can be cold and aloof,28. Perseveres until the task is finished,29. Can be moody,"30. Values artistic, aesthetic experiences","31. Is sometimes shy, inhibited",32. Is considerate and kind to almost everyone,33. Does things efficiently,34. Remains calm in tense situations,35. Prefers work that is routine,"36. Is outgoing, sociable",37. Is sometimes rude to others,38. Makes plans and follows through with them,39. Gets nervous easily,"40. Likes to reflect, play with ideas",41. Has few artistic interests,42. Likes to cooperate with others,43. Is easily distracted,"44. Is sophisticated in art, music, or literature"
u07,post,3,1,4,3,2,3,4,4,4,2,2,2,4,4,4,3,5,2,3,2,3,5,3,2,4,5,2,3,3,2,2,4,3,4,4,3,2,3,2,3,2,2,4,2
u09,post,4,1,4,1,4,5,5,4,3,4,3,1,4,3,4,4,5,4,3,4,4,5,3,5,4,2,1,4,2,3,4,5,5,5,4,3,2,2,2,5,2,4,4,2
u10,post,1,5,5,2,5,5,1,1,4,5,4,4,5,3,5,3,1,1,4,5,5,3,1,3,4,5,5,5,5,1,4,1,5,3,3,1,5,5,3,4,1,1,1,3
u14,post,4,4,5,1,4,3,4,3,4,5,4,2,4,4,3,4,4,3,4,3,4,4,3,5,4,3,2,5,2,4,4,5,4,5,4,4,2,3,3,4,4,4,3,3
u15,post,4,1,4,1,4,3,4,4,4,4,4,2,4,3,3,3,4,4,3,3,3,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,3,4,2,4,3,3,2
u16,post,1,3,4,4,4,5,3,4,2,4,3,1,4,4,3,3,4,2,5,5,5,2,4,2,3,2,5,5,4,5,5,4,3,3,4,3,2,3,4,5,2,4,4,3
u17,post,5,5,4,4,5,5,5,4,2,5,4,3,4,5,4,3,5,5,5,5,5,5,3,2,5,4,3,5,4,5,2,5,3,3,5,3,3,4,5,5,1,4,3,5
u18,post,3,5,3,4,3,3,3,0,1,3,3,4,3,4,3,2,1,3,3,4,4,1,2,2,3,4,4,4,4,2,3,2,2,3,3,3,4,4,4,4,4,4,4,2
u19,post,1,2,5,4,4,4,4,4,2,4,5,1,4,4,4,4,4,3,5,4,5,3,2,2,4,1,4,5,4,4,5,4,3,3,4,2,3,4,4,4,2,4,2,3
u20,post,3,1,4,3,4,3,2,3,3,4,1,1,4,3,3,4,5,2,3,5,3,5,4,5,4,4,1,3,2,3,3,4,3,4,5,5,1,4,3,3,4,3,3,3
u23,post,4,4,4,5,5,5,4,4,1,4,4,4,5,5,5,5,4,3,5,5,5,5,2,4,5,4,3,5,5,5,4,4,3,2,5,4,3,4,0,0,4,5,4,5
u24,post,4,5,3,3,5,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,3,5,4,4,5,4,2,3,3,4,4,4,5,4,2,4,4,4,4,3,2,3,5,5
u27,post,2,3,3,3,3,5,4,4,3,3,2,1,3,2,3,3,4,4,4,3,4,4,3,3,3,2,4,4,4,5,4,4,3,3,5,3,2,3,4,4,2,3,4,4
u30,post,4,2,5,1,4,2,4,2,3,4,4,1,5,2,4,5,3,2,2,3,2,4,1,4,4,4,2,5,3,3,1,4,4,4,3,5,1,5,1,5,3,4,2,3
u31,post,4,4,5,1,3,2,2,2,4,5,3,3,4,4,4,3,3,4,5,0,4,4,4,3,3,3,2,4,3,3,4,3,4,2,2,4,4,3,5,3,5,4,5,5
u32,post,5,4,5,1,4,3,4,1,5,5,4,1,5,2,4,5,4,1,2,5,2,4,4,5,4,3,1,5,2,4,2,4,5,5,3,5,1,5,2,4,3,5,2,2
u33,post,5,2,4,4,5,2,4,4,2,4,2,1,2,4,3,3,4,5,4,5,3,4,4,3,5,5,5,4,5,5,5,5,3,4,3,4,2,2,4,5,1,4,5,5
u34,post,4,3,4,1,4,3,5,4,4,4,4,3,5,4,3,4,5,4,3,5,4,5,4,4,3,3,2,3,4,2,4,5,4,2,3,4,2,2,4,4,3,4,2,1
u35,post,2,1,4,2,4,3,5,3,4,4,4,2,4,2,3,4,4,2,2,4,3,3,4,4,4,2,2,2,3,4,2,2,3,3,2,4,4,0,3,4,4,4,2,3
u36,post,4,1,5,2,4,2,5,3,4,4,4,1,5,3,4,4,1,1,2,4,4,5,2,4,4,4,1,4,2,4,3,4,4,3,3,4,1,3,2,4,4,4,2,3
u42,post,4,1,2,1,4,3,4,4,4,5,5,1,4,3,5,4,5,3,2,3,2,4,4,3,3,3,2,2,2,2,2,4,4,4,3,3,2,2,2,4,2,4,2,4
u43,post,2,2,5,2,4,4,3,2,4,4,4,1,5,2,4,2,4,2,2,3,4,4,3,4,4,2,2,5,3,2,4,4,4,4,3,2,1,4,3,4,4,5,3,2
u44,post,2,3,4,3,4,4,4,4,3,4,4,2,4,4,4,4,4,2,3,4,4,4,3,3,2,3,4,4,4,4,4,3,4,3,4,3,4,3,3,4,3,4,3,2
u45,post,4,4,4,2,4,3,5,3,4,5,5,3,4,2,2,4,5,2,2,4,4,4,3,2,2,2,3,3,4,5,2,4,4,4,3,4,2,4,2,3,2,3,2,3
u47,post,4,2,4,1,5,3,4,2,3,3,2,4,2,2,5,5,3,1,2,5,1,5,1,5,5,4,3,2,2,3,2,3,2,3,2,2,3,5,1,3,2,3,2,3
u49,post,4,3,5,1,5,4,4,4,5,5,4,1,5,4,5,5,5,4,2,5,5,5,4,5,5,3,2,5,2,5,4,4,4,3,3,4,2,4,3,5,4,5,2,5
u51,post,2,3,4,2,4,3,4,4,4,4,4,1,4,4,4,4,3,2,2,4,4,4,3,4,4,3,2,4,2,4,3,3,4,4,2,3,2,4,2,4,4,4,2,3
u52,post,1,4,4,5,2,5,3,3,1,5,3,1,3,5,5,3,5,1,5,5,5,1,5,1,1,3,5,4,5,3,5,3,2,3,3,3,3,1,5,5,5,3,5,1
u53,post,4,4,5,2,5,4,4,4,1,3,2,1,5,5,4,2,5,5,5,5,4,4,3,2,4,2,3,4,5,5,5,4,3,2,2,3,3,3,5,5,2,4,5,5
u54,post,3,2,3,2,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
u56,post,1,2,4,1,4,5,4,3,3,4,2,1,4,3,4,2,4,4,2,3,5,4,3,4,4,2,3,4,3,5,5,5,4,4,2,2,2,3,3,5,2,3,3,3
u58,post,1,3,4,2,4,4,5,0,1,5,5,1,5,5,5,5,5,1,4,3,5,5,1,4,4,5,1,5,3,5,5,2,5,2,5,1,1,5,5,4,4,3,5,4
u59,post,5,2,4,2,3,4,4,4,4,5,4,1,4,3,3,5,4,3,4,4,2,5,5,4,3,4,2,4,4,4,4,4,4,4,4,5,3,3,5,3,4,4,5,3
